City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,San Patricio,US,82.0,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
3,Avarua,CK,77.0,overcast clouds,-21.2078,-159.775,Paradise Inn
8,Hilo,US,75.2,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
11,Georgetown,MY,80.6,scattered clouds,5.4112,100.3354,Cititel Penang
14,Atuona,PF,79.68,overcast clouds,-9.8,-139.0333,Villa Enata
16,Saint-Philippe,RE,75.2,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
18,Kapaa,US,75.99,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
24,Ternate,ID,80.44,clear sky,0.8,127.4,Grand Dafam Bela Ternate
25,Ahuimanu,US,77.0,broken clouds,21.4447,-157.8378,Paradise Bay Resort
29,Bandarbeyla,SO,83.98,overcast clouds,9.4942,50.8122,JABIR HOTEL
30,Saint-Pierre,RE,75.2,light rain,-21.3393,55.4781,Lindsey Hôtel
31,Bac Lieu,VN,82.42,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
34,Hambantota,LK,80.6,scattered clouds,6.1241,81.1185,Bungalow 63
37,Kununurra,AU,75.2,broken clouds,-15.7667,128.7333,Hotel Kununurra
39,Mahebourg,MU,77.0,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
41,Bud,US,80.01,broken clouds,39.446999999999996,-86.1758,Ted McQuinn Trust
44,Namatanai,PG,78.39,broken clouds,-3.6667,152.4333,Namatanai Hotel
46,Bambous Virieux,MU,78.01,moderate rain,-20.3428,57.7575,Casa Tia Villa
48,Rikitea,PF,77.32,clear sky,-23.1203,-134.9692,Pension Maro'i
59,Hithadhoo,MV,82.76,overcast clouds,-0.6,73.0833,Scoop Guest House
66,Sola,VU,75.2,broken clouds,-13.8833,167.55,Leumerus Bungalows
68,Cikupa,ID,82.0,few clouds,-6.2364,106.5083,Amaris Hotel Citra Raya - Tangerang
70,Bathsheba,BB,84.2,few clouds,13.2167,-59.5167,Atlantis Hotel
74,Lorengau,PG,80.56,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
