City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Mataura,-46.1927,168.8643,42.01,83,100,5.99,NZ,overcast clouds
1,Ostrovnoy,68.0531,39.5131,24.62,84,100,6.78,RU,overcast clouds
2,San Patricio,28.017,-97.5169,82.0,83,90,13.8,US,overcast clouds
3,Avarua,-21.2078,-159.775,77.0,94,97,4.61,CK,overcast clouds
4,Bijie,27.3125,105.2942,56.62,93,100,2.98,CN,overcast clouds
5,Tuatapere,-46.1333,167.6833,42.01,83,100,5.99,NZ,overcast clouds
6,Aklavik,68.2191,-135.0107,21.2,38,0,6.91,CA,clear sky
7,Nikolskoye,59.7035,30.7861,37.4,65,75,6.71,RU,broken clouds
8,Hilo,19.7297,-155.09,75.2,60,1,6.38,US,clear sky
9,Barrow,71.2906,-156.7887,19.4,79,90,8.05,US,overcast clouds
10,Vaini,-21.2,-175.2,71.6,94,90,20.71,TO,light rain
11,Georgetown,5.4112,100.3354,80.6,89,40,2.3,MY,scattered clouds
12,Hermanus,-34.4187,19.2345,62.01,80,100,5.86,ZA,overcast clouds
13,Billings,45.7833,-108.5007,59.0,44,75,5.75,US,broken clouds
14,Atuona,-9.8,-139.0333,79.68,70,90,16.84,PF,overcast clouds
15,Bredasdorp,-34.5322,20.0403,60.8,77,100,2.3,ZA,overcast clouds
16,Saint-Philippe,-21.3585,55.7679,75.2,88,0,3.44,RE,light rain
17,Busselton,-33.65,115.3333,55.0,96,0,3.2,AU,clear sky
18,Kapaa,22.0752,-159.319,75.99,78,1,4.61,US,clear sky
19,Ushuaia,-54.8,-68.3,44.6,87,75,4.61,AR,light rain
20,Cape Town,-33.9258,18.4232,62.01,82,20,9.22,ZA,few clouds
21,Qaanaaq,77.484,-69.3632,39.54,86,100,7.14,GL,overcast clouds
22,Punta Arenas,-53.15,-70.9167,48.2,81,90,4.61,CL,light rain
23,Albany,42.6001,-73.9662,64.99,20,97,2.59,US,overcast clouds
24,Ternate,0.8,127.4,80.44,78,0,3.02,ID,clear sky
